upazila81,factory91,factory01,factory05,subdiv81,district81,subdiv61,pop81,nonRiverareaSQKM,hindu81,literacy81,primary81,madrasa81,metalledroad81,kutcha81,roof_bamboo81,hh81,agrolandowner81,urbanpop81,occ_hh81,occ_culti81,occ_mfg81
kowkhali,0,0,0,perojpur,barisal,perojpur,67674,75,15341,47,12229,650,13,402,6898,12082,7149,5277,19191,6854,226
koyra,0,0,0,khulna,khulna,,125090,1246,35971,25,3000,650,2,137,18502,19460,13363,6263,34416,19781,111
kulaura,0,0,0,moulvieazar,sylhet,moulvibazar,293455,723,79166,22,11326,600,15,402,41178,50389,27967,9324,67618,49951,13976
kuliarchar,0,0,0,kishoreganj,mymensinch,kishoreganj,113567,101,9417,16,7977,630,1448,50,11976,21391,14346,12166,31658,22251,208
kumarkhali,0,0,0,kushtia sadar,kushtia,kuslitia sadar,231662,224,18701,18,16115,1511,68,269,18572,35682,17413,13828,57071,31083,2332
kurigram,0,0,0,kurigram,rangpur,kurigram,175945,230,15431,18,14429,935,27,1931,25369,30124,18284,47641,45378,34312,1553
kushtia,0,0,0,kushtia sadar,kushtia,kuslitia sadar,306827,293,21751,23,22702,608,74,463,20865,47179,20988,74892,74287,38832,4081
kutubdia,0,0,0,cox's bazar,chittagong,cox's bazar,72527,78,6381,15,6697,3100,4184,35,10091,23321,8578,,18427,9916,141
laksham,0,0,0,comilla sadar (south),comilla,comilla sadar south,525068,547,23896,25,50855,2008,42,483,52147,90152,66456,29075,136296,73772,6197
lalmohan,0,0,0,bhola,barisal,bhola,195387,280,19053,18,16013,1460,26,274,27585,33998,19701,23456,47264,33700,546
lalmonirhat,0,0,0,lalmonirhat,rangpur,,192532,227,33060,19,17989,6760,81,330,24892,32773,21355,36439,48898,37895,778
lalpur,0,0,0,natore,rajshahi,natore,175862,284,20977,19,13116,1133,24,151,20058,28484,15896,6861,42092,30035,2530
lama,0,0,0,lama,bandarban,bandarban,18298,261,1603,15,2425,274,13,38,9929,10033,6046,9241,12727,11156,1191
langadu,0,0,0,rangamati,chittagong ht,rangamati,38095,387,745,18,2267,,,48,7166,7242,5406,9002,10036,8220,60
lohacara,0,0,0,chittagong sadar (patiya),chittagong,,164705,256,18076,21,,2880,24,32,22084,27926,18433,,42255,20936,1130
lohajang,0,0,0,munshiganj,dhaka,munshiganj,148738,103,13667,31,14700,,161,39,4549,24663,13354,3344,35918,12403,660
madan,0,0,0,netrokona,mymensinch,netrakona,103826,224,8466,13,6759,904,,209,13547,19043,11359,7350,26045,25778,62
madarganj,0,0,0,jamalpur,jamalpur,jamalpur,169607,209,3311,11,12679,559,3,608,22559,30666,19700,13261,44408,36964,232
madaripur,0,0,0,madaripur,faridpur,madaripur,268394,249,26277,23,23343,1192,153,296,24507,49108,31114,63917,72924,39721,3129
madhabpur,0,0,0,hobiganj,sylhet,habiganj,194710,299,46087,18,13491,369,32,254,27118,34909,22448,771,51459,37834,4025
