upazila81,factory91,factory01,factory05,subdiv81,district81,subdiv61,pop81,nonRiverareaSQKM,hindu81,literacy81,primary81,madrasa81,metalledroad81,kutcha81,roof_bamboo81,hh81,agrolandowner81,urbanpop81,occ_hh81,occ_culti81,occ_mfg81
babuganj,0,1,1,barisal sadar(south),barisal,barisal sadar north,126188,153,7623,38,16955,659,31,251,9457,22029,18033,3852,33364,21085,712
bakerganj,0,1,1,barisal sadar(south),barisal,barisal  sadar south,312086,342,43448,37,39571,5796,142,317,24978,53650,38015,12123,87056,37030,1631
bandar,0,1,1,narayanganj,dhaka,,197839,42,10257,27,,,32,1287,5845,34342,11106,72213,39923,6270,19041
bhaluka,1,1,1,mymensinch sadar south,mymensinch,myrnensingh sadar south,215789,441,11689,16,18649,1112,23,476,29039,38332,30357,10523,57130,52236,151
boalkhali,1,1,1,chittagong sadar (patiya),chittagong,chittagong sadar south,174364,124,43445,32,20600,930,32,303,16879,28431,11233,19703,50821,8732,4137
cantonment,1,1,1,dhaka sadar,dhaka,,107432,37.19944598,1284,55,,,,,5103,17182,5181,107432,18949,,
chandanaish,0,1,1,chittagong sadar (patiya),chittagong,,155842,201,25239,25,16170,3540,21,129,18571,26701,14054,8517,41085,18756,1408
chandgaon,1,1,1,ctg sadar north,chittagong,,157513,12,10951,34,,1607,21,16,12925,24658,3389, ,28845,1022,13683
chittagong port,1,1,1,ctg sadar north,chittagong,,206013,122,12492,32,,378,48,18,15253,29694,9399,,43571,6501,8324
chouddagram,0,1,1,comilla sadar (south),comilla,comilla sadar south,366002,388,7581,22,35648,4350,42,579,34949,63005,46220,5989,96883,54675,3763
demra,1,1,1,dhaka sadar,dhaka,,320452,58.0213652,17550,39,,,2414,24,10925,55757,16484,320452,60218,4972,26759
dhanmondi,1,1,1,dhaka sadar,dhaka,,94047,5.853426277,1634,67,,,,,1500,12204,5446,94047,16127,216,1817
double mooring,1,1,1,ctg sadar north,chittagong,chittagong sadar north,272708,11,18221,48,34899,478,216,130,17491,41373,6596,,45100,400,7777
goshairhat,1,1,1,saritpur,faridpur,madaripur,92592,87,5359,17,9095,2300,,97,14112,21220,13122,,25686,20065,116
gazaria,0,1,1,munshiganj,dhaka,munshiganj,112850,96,4675,22,11605,,32,60,2618,19401,14489,710,29601,28328,477
gulshan,1,1,1,dhaka sadar,dhaka,,215444,82.86307692,11215,45,,,,,5858,35054,17090,215444,42638,9093,5598
joydevpup,1,1,1,gazipur,dhaka,dacca sadar north,231891,442,20352,26,15222,,92,499,17173,36885,24785,2155,57988,34033,8263
kaliakair,1,1,1,gazipur,dhaka,dacca sadar north,165766,308,28501,21,19845,,27,401,13533,26231,19631,2269,44225,33065,697
keraniganj,1,1,1,dhaka sadar,dhaka,dacca muuicipaiity,361625,92,48808,27,31529,,13,105,9323,61339,19104,165800,78739,17284,14518
khulna,1,1,1,khulna,khulna,khulna,287770,21,30268,48,29779,1806,155,116,33221,49675,11539,,53380,1662,8169
kotwali,1,1,1,ctg sadar north,chittagong,chittagong sadar north,209851,8,55894,60,15360,700,84,16,6998,25194,3150,,27857,589,3699
kotwali,1,1,1,dhaka sadar,dhaka,,181068,1.942497908,22887,50,,,,,1288,21368,4005,181068,27275,308,9699
kotwali,1,1,1,faridpur sadar,faridpur,faidpur sadar,278892,394,39862,27,27765,968,77,388,27249,45466,23655,66579,69616,38589,1432
lakshmipur,0,1,1,lakshmipur,noakhali,noakhali sadar,473611,373,26200,27,49469,4580,48,1041,41295,84914,61138,37813,124164,67780,2256
lalbag,1,1,1,dhaka sadar,dhaka,,306775,8.883788949,9799,43,,,,,7150,45044,9366,306775,52934,759,13162
lohagara,0,1,1,narail,jessore,narail,177245,278,36478,27,17755,250,45,526,18338,29816,19932,2658,47066,27005,480
mirpur,1,1,1,dhaka sadar,dhaka,,332231,58.40910689,7192,44,,,,,12794,54477,17327,332231,60835,4153,8316
mirzapur,1,1,1,tangail,tangail,tangail,294447,357,45452,23,28434,450,26,8,15120,47428,36025,19905,80974,50554,2205
mohammadpur,1,1,1,dhaka sadar,dhaka,,232817,11.68114997,7596,52,,,,,8408,36969,8564,232817,41036,2135,6219
motiijheel,1,1,1,dhaka sadar,dhaka,,350000,9.142678021,8584,58,,,,,10606,52819,12460,350000,60233,1489,5283
narayanganj,1,1,1,narayanganj,dhaka,narayanganj,196233,152.8294393,34620,45,,,,,3134,29895,5188,196233,36296,2338,10532
nawabganj,0,1,1,dhaka sadar,dhaka,dacca muuicipaiity,242139,235,54525,24,21468,,2,592,8189,40726,21551,8676,62406,22613,4779
panchlaish,1,1,1,ctg sadar north,chittagong,chittagong sadar north,116126,48,6818,45,19100,1000,97,48,9872,18077,3723,,17399,760,17627
patiya,1,1,1,chittagong sadar (patiya),chittagong,chittagong sadar south,288710,336,73392,28,41600,1419,116,237,29727,45717,22950,33490,86193,22491,1576
pahartali,1,1,1,ctg sadar north,chittagong,,97518,22,,16,,100,32,8,971,7112,261,,8483,126,18
raipura,0,1,1,narsingdi,dhaka,narayanganj,433943,310,20834,16,36207,,11,204,33354,76686,51470,22390,111503,71470,7802
ramna,1,1,1,dhaka sadar,dhaka,,111206,6.921391672,6018,66,,,,,2444,12514,3545,111206,13579,1488,1629
rupganj,1,1,1,narayanganj,dhaka,narayanganj,293244,228,31842,27,21482,,27,177,14932,49039,30053,56305,67701,28434,24940
rupsha,1,1,1,khulna,khulna,,120441,77,27532,32,,,,,14943,19540,8416,30440,26935,9092,4266
savar,1,1,1,dhaka sadar,dhaka,dacca sadar north,261904,264,33564,23,19039,,29,724,8761,41979,24625,22273,63917,37992,3875
serajdikhan,0,1,1,munshiganj,dhaka,munshiganj,197583,166,39284,26,21508,,483,420,5672,31687,20315,195,55306,23926,1158
sidhirganj,0,1,1,narayanganj,dhaka,,93998,25.64048009,1186,38,5334,,,,2510,16776,3169,93998,14181,1754,26573
singair,0,1,1,manikganj,dhaka,manikcganj,202184,198,16609,15,12660,,2,92,14550,34831,22647,10708,55230,39944,485
sitaikunda,0,1,1,ctg sadar north,chittagong,chittagong sadar north,236664,293,34136,32,14134,6625,69,452,22744,35399,14759,,59955,16198,27990
sreepur,0,1,1,gazipur,dhaka,dacca sadar north,238984,457,11228,19,22281,,43,705,28642,40722,31153,10271,61700,50728,610
sutrapur,1,1,1,dhaka sadar,dhaka,,308816,2.952605865,34865,52,,,,,4392,43451,10538,308816,53857,433,10316
tangail,1,1,1,tangail,tangail,tangail,281751,226,30261,27,4000,1260,85,480,17175,45542,28210,77518,70360,36189,2609
tejgaon,1,1,1,dhaka sadar,dhaka,dacca muuicipaiity,187282,5.672118239,3652,60,,,,,4562,25106,10539,187282,29489,554,13298
tongi,1,1,1,gazipur,dhaka,,119760,30,4386,37,,,,,7728,18853,6657,94580,22587,5837,22438
brahmanbaria,0,0,1,brahmanbaria,comilla,brahmanbaria,465661,489,51209,21,38261,,43,305,33316,75493,47552,87570,116785,72387,4258
dhamrai,0,0,1,dhaka sadar,dhaka,dacca sadar north,265593,288,38814,19,25927,,45,185,10694,43552,30733,14854,74375,49946,1764
gauripur,0,0,1,mymensinch sadar north,mymensinch,,166461,245,9956,18,14187,1069,37,296,23280,31102,21293,14370,39772,31925,210
madhupur,0,0,1,tangail,tangail,tangail,262544,481,10268,16,18773,3467,52,1226,30948,46715,34264,7353,66686,54714,513
narsingdi,0,0,1,narsingdi,dhaka,narayanganj,328708,195,30462,22,44500,,42,1287,16730,55974,29433,76841,78304,34972,19753
sherpur,0,0,1,sherpur,jamalpur,jamalpur,304636,357,9633,14,22756,803,21,8,43037,57153,34610,14794,72342,549372,2486
shibpur,0,1,1,narsingdi,dhaka,narayanganj,194155,206,9771,23,29435,,48,177,15412,35723,29281,5108,57660,40430,1809
shudaram,0,0,1,noakhali sadar,noakhali,noakhali sadar,433160,826,30049,24,1394,37874,483,225,54565,84786,53006,59065,62691,32213,1537
abhaynagar,0,0,0,jessore sadar,jessore,jessore sadar,176562,243,52204,31,15626,5282,34,781,19901,28073,16990,19746,43451,26222,9790
adamdighi,0,0,0,bogra sadar,bogra,bogra sadar,132690,170,14540,28,18742,1868,31,208,10188,23465,15713,23240,35963,20985,462
aditmari,0,0,0,lalmonirhat,rangpur,,134567,195,27847,14,7930,700,3,946,20159,23940,18106,,36360,34524,138
ajmiriganj,0,0,0,hobiganj,sylhet,habiganj,74094,161,23638,17,6047,350,32,64,5964,11846,6324,12175,19329,14438,144
akhaura,0,0,0,brahmanbaria,comilla,brahmanbaria,108417,95,8805,23,11204,250,16,134,10281,18346,12085,7267,28696,20863,211
akkeipur,0,0,0,joypurhat,bogra,bogra sadar,100436,138,8614,25,9243,1915,5,420,9956,18228,12744,3404,27151,21812,178
alamdanga,0,0,0,chuadanga,kushtia,chuadanga,202489,352,10313,16,19005,990,58,246,13398,31370,19805,47003,52000,40281,560
alfadanga,0,0,0, faridpur sadar,faridpur,faidpur sadar,58555,88,8649,24,5225,201,2,58,5872,9718,6357,3460,15458,9130,399
alikadam,0,0,0,lama,bandarban,,18298,340,435,12,620,90,,16,2947,2993,1097,4594,4480,3339,15
amtali,0,0,0,barguna,patuakhali,patuakhali,225897,546,16024,25,24954,1820,3,1127,29790,37454,26972,8909,66125,34253,172
anowara,0,0,0,chittagong sadar (patiya),chittagong,chittagong sadar south,175913,145,35835,21,24813,2700,2,10,24163,30861,19784,3518,50786,26737,1222
aradiazar,0,0,0,narayanganj,dhaka,narayanganj,232275,151,10510,16,1685,,24,85,10407,41527,24891,2331,56176,26609,8967
assasuni,0,0,0,satkhira,khulna,satkhira,223180,383,79902,24,17925,580,16,238,32510,37697,25335,6029,61130,38500,222
astacram,0,0,0,kishoreganj,mymensinch,kishoreganj,104331,294,17881,11,7198,210,2,156,8504,15497,10702,12427,27547,24739,66
atghorla,0,0,0,pabna sadar,pabna,pabna,104798,183,4504,16,12287,2585,19,386,12150,16443,10869,4919,27015,22505,539
atpara,0,0,0,netrokona,mymensinch,netrakona,106626,194,14360,19,8827,275,,220,15198,20099,13554,2299,26866,23968,95
atral,0,0,0,naogaon,rajshahi,naogaon,138756,283,19712,21,12029,375,2,80,6885,22778,15919,7582,36407,29205,463
atwari,0,0,0,panchagarh,dinajpur,dinajpur sadar,87067,210,22243,20,8457,2716,18,597,15194,16380,11950,2266,21448,20496,132
badalgachi,0,0,0,naogaon,rajshahi,naogaon,163046,211,24125,22,15151,2075,3,64,18794,30373,20377,4525,44399,36949,364
badarganj,0,0,0,rangpur sadar,rangpur,rangpur sadar,173252,299,22204,17,14532,1982,13,864,25599,33204,18202,17258,46657,28730,1138
bagatipara,0,0,0,natore,rajshahi,natore,86890,135,6313,23,7797,556,24,457,10088,13707,8640,5402,21286,14758,201
bagerhat,0,0,0,bagerhat,khulna,bagerhat,208143,268,59628,41,17643,1115,206,483,25489,35752,20805,37471,52609,21410,875
bagha,0,0,0,rajshahi sadar,rajshahi,rajslaahi sadar,125038,,10703,17,,,,,11621,20719,13517,,34847,18067,137
baghaichhari,0,0,0,rangamati,chittagong ht,,54547,1977,3094,20,5100,203,3,240,8651,8986,5352,8810,10914,12572,616
bagherpara,0,0,0,jessore sadar,jessore,jessore sadar,142608,268,34745,23,34880,3111,42,257,13255,21204,16492,6187,35878,28323,329
bagmara,0,0,0,rajshahi sadar,rajshahi,rajslaahi sadar,235347,363,14989,18,19756,3144,3,206,11864,41842,33259,2690,65998,53631,430
bahubal,0,0,0,hobiganj,sylhet,habiganj,116604,250,21592,17,10110,1928,24,79,17652,22136,13752,1627,29891,23550,3425
baidyer bazar,0,0,0,narayanganj,dhaka,narayanganj,210330,134,10661,20,19126,,26,71,8966,35725,22535,1726,51392,23379,9097
bajitpur,0,0,0,kishoreganj,mymensinch,kishoreganj,153079,172,20721,18,15061,360,3380,127,14819,28493,16995,17620,41199,27741,347
balaganj,0,0,0,sylhet sadar,sylhet,sylhet sadar,196772,375,20004,21,21164,750,39,97,16138,29648,16387,3618,49420,37610,584
baliadangi,0,0,0,thakurgaon,dinajpur,thakurgaon,119391,284,24864,17,8396,2271,6,687,18024,21991,15506,4834,31285,29082,120
balikandi,0,0,0,gopalpur,faridpur,goalaada,190837,330,61215,22,15674,3900,,362,20227,30455,22456,3528,52072,40539,952
bamna,0,0,0,barguna,patuakhali,patuakhali,63035,84,5937,35,8335,900,6,92,7048,11283,7896,5233,16807,10998,157
bancharampur,0,0,0,brahmanbaria,comilla,brahmanbaria,218673,150,12353,15,16030,1650,2,64,8497,37025,23725,5971,56288,28039,10391
bandarban,0,0,0,bandarban,bandarban,bandarban,28820,191,1586,23,7461,400,19,163,4913,5174,2572,10092,5690,7083,33
baniachang,0,0,0,hobiganj,sylhet,habiganj,204267,489,48427,15,16479,735,2,105,21605,33496,19052,50164,51087,43538,99
banshkhali,0,0,0,chittagong sadar (patiya),chittagong,chittagong sadar south,264835,349,38618,16,21107,3600,455,129,38039,45401,26763,12712,71962,41561,431
baraigram,0,0,0,natore,rajshahi,natore,170737,299,12627,18,15938,1633,61,105,20520,27679,18117,2196,42565,35064,323
barguna,0,0,0,barguna,patuakhali,patuakhali,194670,303,15939,31,21400,2404,19,98,25230,33397,22123,16650,51027,31185,690
barhatta,0,0,0,netrokona,mymensinch,netrakona,125234,230,16071,19,4488,726,322,188,17107,21274,13582,2319,29744,23628,70
barkal,0,0,0,rangamati,chittagong ht,rangamati,18568,735,325,15,2004,,,80,2858,2901,2074,766,4576,5070,19
barlekha,0,0,0,moulvieazar,sylhet,moulvibazar,169515,422,43284,22,15583,2700,16,48,18959,26009,14452,3570,41445,26308,4011
barnripara,0,0,0,perojpur,barisal,perojpur,125424,118,22192,40,15136,4200,29,266,11966,22989,14473,5769,32297,14488,425
barura,0,0,0,comilla sadar (south),comilla,comilla sadar south,253549,242,25090,23,24100,2875,19,161,27807,43053,34535,5844,65121,44542,520
basail,0,0,0,tangail,tangail,tangail,154966,171,17070,24,15616,1500,18,357,7336,25139,19416,9033,39901,27442,898
batiaghata,0,0,0,khulna,khulna,khulna,110524,241,60178,30,10809,315,21,129,15479,17787,10889,4912,29831,22426,674
bawphal,0,0,0,patuakhali,patuakhali,patuakhali,266709,330,29854,32,36980,1150,18,241,25482,45473,33002,9411,81197,31987,754
beanibazar,0,0,0,sylhet sadar,sylhet,sylhet sadar,161235,244,7986,29,19414,46000,35,209,11259,23938,11719,11640,46936,13739,874
begumganj,0,0,0,noakhali sadar,noakhali,noakhali sadar,583021,407,37078,31,52404,23460,611,1096,31195,100555,70942,6962,154976,50268,11303
belaichhari (kaptai),0,0,0,kaptai,chittagong ht,,14483,761,328,18,350,,,102,2238,2283,464,880,3633,1830,118
belkuchi,0,0,0,serajganj,pabna,serajganj,187414,117,18169,23,20090,1690,966,72,9668,30751,16119,10680,45316,19221,16798
bera,0,0,0,pabna sadar,pabna,pabna,163124,224,15264,19,13934,1944,2414,153,12057,26745,11660,16509,41923,17076,1341
betagi,0,0,0,barguna,patuakhali,patuakhali,110736,147,12077,36,16187,806,10,92,10990,19978,15156,8584,30609,17632,348
bhairab,0,0,0,kishoreganj,mymensinch,kishoreganj,161927,101,9325,18,9862,271,2253,266,9518,27150,13963,63563,38878,19351,2760
bhandaria,0,0,0,perojpur,barisal,,130105,137,17299,43,17471,800,18,195,15537,25081,15684,17264,36247,16458,385
bhanga,0,0,0,faridpur sadar,faridpur,faidpur sadar,194813,214,22751,19,23363,4800,3380,46188,14857,35589,22657,24261,55112,33334,586
bhedarganj,0,0,0,saritpur,faridpur,madaripur,166789,172,5580,16,14777,,,122,17487,29407,18624,,45059,29470,262
bheramara,0,0,0,kushtia sadar,kushtia,kuslitia sadar,110809,104,3810,21,7738,79,43,90,9992,17666,7520,33641,26448,13333,1047
bhola,0,0,0,bhola,barisal,bhola,274784,271,14228,21,22528,1397,47,1239,32831,47930,22565,32838,61952,39918,704
bholahat,0,0,0,nawabganj,rajshahi,nawabganj,54534,120,700,16,4536,916,2,,4950,8814,4141,642,16159,8709,70
bhuapur,0,0,0,tangail,tangail,tangail,135851,171,5549,19,12603,1222,8,233,13684,22942,16585,3615,36154,26754,535
bhurungamari,0,0,0,kurigram,rangpur,kurigram,149454,229,2869,14,16221,7760,18,312,24592,27021,17465,14551,38432,35959,42
birampur,0,0,0,dinajpur,dinajpur,,103396,212,7427,23,9257,1926,13,249,14849,19151,12042,,28789,18845,203
birganj,0,0,0,dinajpur,dinajpur,,179885,408,54502,19,15840,2200,58,539,28434,32181,20770,6045,46137,42999,379
birol,0,0,0,dinajpur,dinajpur,dinajpur sadar,166485,347,45143,21,18520,1217,26,575,23497,28061,16714,6996,41938,35072,320
bishwamvarpur,0,0,0,sunamganj,sylhet,,75972,167,11920,14,5473,648,,,10587,12352,7687,1824,19877,17181,42
biswanath,0,0,0,sylhet sadar,sylhet,sylhet sadar,146043,206,7717,20,15423,720,21,89,9936,22071,12546,9126,36980,21470,265
boalia,0,0,0,rajshahi sadar,rajshahi,rajslaahi sadar,141909,61,13748,52,11058,903,90,26,4718,20879,5696,,26699,627,2068
boalmari,0,0,0,faridpur sadar,faridpur,faidpur sadar,275625,445,50195,22,29892,4084,42,362,33461,47601,31911,8302,74565,53003,869
bochaganj,0,0,0,dinajpur,dinajpur,dinajpur sadar,101429,223,39408,25,11130,713,35,425,14748,18077,10982,12788,27327,18155,427
boda,0,0,0,panchagarh,dinajpur,thakurgaon,181185,375,42280,19,18285,289,45,636,30848,33444,21065,11988,45787,41581,791
bogra,0,0,0,bogra sadar,bogra,bogra sadar,439633,423,27248,34,41005,6800,182,776,27460,74599,39644,68749,104226,55322,7544
brahmanpara,0,0,0,comilla sadar (south),comilla,,125975,134,4991,25,6616,3000,5,275,12015,20716,17194,1655,31079,22444,436
burhanuddin,0,0,0,bhola,barisal,bhola,202620,214,21425,19,15550,1275,34,528,26335,35867,21900,25306,50685,35814,446
burichang,0,0,0,comilla sadar (south),comilla,comilla sadar south,192087,157,8909,25,19735,3448,34,311,18136,30668,24768,5909,47675,34427,924
caffaroaon,0,0,0,mymensinch sadar south,mymensinch,myrnensingh sadar south,328705,382,6958,21,34240,3500,24,1521,35191,55305,42988,20363,51042,66203,577
campaniganj,0,0,0,sylhet sadar,sylhet,sylhet sadar,53293,285,3385,90,3375,186,,27,7076,8380,4959,4863,13727,12743,78
chakoria,0,0,0,cox's bazar,chittagong,cox's bazar,307421,565,15769,15,30363,1162,60,100,41616,25586,9198,3689,69501,50268,981
chandina,0,0,0,comilla sadar (north),comilla,comilla sadar north,214222,202,21432,19,21705,810,26,584,24988,37931,29755,8753,55949,39769,607
chandpur,0,0,0,chandpur,comilla,cbandpur,336867,312,27958,33,24851,3809,16,460,17470,57235,30927,85656,74942,32868,8350
chandraghona,0,0,0,kaptai,chittagong ht,rangamati,45881,271,2768,39,4434,94,22,64,5285,9170,2049,40372,7712,3159,3989
char bhadrasan,0,0,0,faridpur sadar,faridpur,faidpur sadar,64348,151,9991,17,8026,,,129,7603,10563,8134,,17578,13566,192
char rajibpur,0,0,0,kurigram,rangpur,kurigram,54162,140,168,12,3668,728,,161,7539,8826,6214,7840,15032,11926,47
charfesson,0,0,0,bhola,barisal,,252680,391,14393,17,12762,1568,11,457,37396,45399,24701,25335,58960,44328,410
charghat,0,0,0,rajshahi sadar,rajshahi,rajslaahi sadar,133894,309,8209,18,17132,1950,127,491,13083,21762,12409,7163,33033,18710,533
chatkhil,0,0,0,noakhali sadar,noakhali,,180802,135,7510,40,20830,1430,129,555,7941,32120,23676,8667,48923,17967,1382
chatomohar,0,0,0,pabna sadar,pabna,pabna,207546,364,15084,17,22136,4426,2092,121,23129,31847,21072,12154,53248,43726,620
chiiagalnaiya,0,0,0,feni,noakhali,feni,137392,126,4260,30,14202,2100,40,325,9539,23755,15858,11342,37831,19099,835
chilmari,0,0,0,kurigram,rangpur,kurigram,89102,190,6300,17,11328,992,2,291,13647,16384,10314,28369,25190,20885,120
chirirbandar,0,0,0,dinajpur,dinajpur,dinajpur sadar,184639,302,44790,21,17451,2026,53,254,27618,33894,19577,4977,49600,36529,490
chitalmari,0,0,0,bagerhat,khulna,bagerhat,73211,133,39006,27,,,,,9295,13077,10647,,19765,15343,89
chowgacha,0,0,0,jessore sadar,jessore,,141290,268,14085,20,11196,445,31,257,16138,22000,16111,4153,36636,28296,551
chowhali,0,0,0,serajganj,pabna,serajganj,106046,198,2845,19,16075,3654,,48,9000,17733,11540,7764,29385,17065,2995
chuadanga,0,0,0,chuadanga,kushtia,chuadanga,181617,279,7685,20,14982,41,31,53,19610,27991,14897,76000,43803,29217,828
chunarughat,0,0,0,hobiganj,sylhet,habiganj,202267,415,44669,18,13156,1430,37,121,24928,34044,18422,4445,47283,38498,8769
companiganj,0,0,0,noakhali sadar,noakhali,noakhali sadar,136879,222,12171,24,14311,10416,3,1583,10144,23470,16026,71581,38857,17509,1721
cox's bazar,0,0,0,cox's bazar,chittagong,cox's bazar,178602,193,15605,18,16534,688,24,161,21139,11868,6505,27576,37786,18364,985
cthhatak,0,0,0,sunamganj,sylhet,sunamganj,219583,438,15348,17,7870,1285,50,161,21623,34031,19411,15004,54096,39200,
dacope,0,0,0,khulna,khulna,khulna,110417,982,74506,29,8377,150,10,52,17207,18338,11599,12631,29198,21152,230
daganbhuiyan,0,0,0,feni,noakhali,,160722,197,13068,27,18212,1465,225,386,14960,28366,21027,3307,43188,19614,1583
damodya,0,0,0,saritpur,faridpur,,91287,91,3258,20,7000,2621,,185,7903,18010,11174,,25821,14768,436
damurhuda,0,0,0,chuadanga,kushtia,chuadanga,172057,300,3783,16,15341,1217,35,249,20229,25868,16973,19624,43112,33628,1431
dashmina,0,0,0,patuakhali,patuakhali,patuakhali,95554,197,6930,23,9642,1411,2,557,11560,16811,12609,12137,31674,13550,71
daudkandi,0,0,0,comilla sadar (north),comilla,comilla sadar north,414860,353,32234,20,34867,1404,24,568,15424,68238,53720,7229,109687,69829,2116
daulatkhan,0,0,0,bhola,barisal,bhola,139439,229,7872,21,13182,926,21,229,16564,24689,13864,7032,31164,22024,348
