year,code,value
2004,5515,20044186
2004,5516,11213005
2004,5602,130470
2004,5603,2092831
2004,5801,14958056
2004,5802,1284199
2004,5809,256627
2004,5906,615535
2004,5907,313613
2004,60,87732617
2005,5512,67300017
2005,5513,79722573
2005,5514,19662058
2005,5515,15011768
2005,5516,3322504
2005,5602,196020
2005,5603,1543701
2005,5801,9244571
2005,5802,407404
2005,5809,904835
2005,5906,1363691
2005,5907,23796
2005,60,73243551
2006,5512,52837297
2006,5513,39983935
2006,5514,523890037
2006,5515,16902811
2006,5516,769208
2006,5602,127035
2006,5603,3053677
2006,5801,9946361
2006,5802,108018
2006,5809,12923
2006,5906,925888
2006,5907,5324
2006,60,29239989
2007,5512,62093058
2007,5513,40319458
2007,5514,5233519
2007,5515,18421480
2007,5516,1563763
2007,5602,223097
2007,5603,3064743
2007,5801,15763448
2007,5802,2980844
2007,5809,3100
2007,5906,964054
2007,5907,70764
2007,60,36672634
1989,5512,1475140
1989,5513,29896505
1989,5514,55074712
1989,5515,1332408
1989,5516,691087
1989,5602,69494
1989,5603,4867
1989,5801,2078224
1989,5802,68902
1989,5809,40
1989,5906,4256
1989,5907,12213
1989,60,21920077
1990,5512,8647115
1990,5513,49364980
1990,5514,72681534
1990,5515,3717925
1990,5516,881134
1990,5602,22382
1990,5603,210566
1990,5801,758127
1990,5802,54396
1990,5809,3427
1990,5906,109480
1990,5907,36735
1990,60,19766899
1991,5512,14012313
1991,5513,48903200
1991,5514,71650682
1991,5515,4448075
1991,5516,2064403
1991,5602,248240
1991,5603,98094
1991,5801,433396
1991,5802,180073
1991,5809,19077
1991,5906,97885
1991,5907,15845
1991,60,22985540
1992,5512,14177041
1992,5513,54546956
1992,5514,86230912
1992,5515,9493355
1992,5516,2142829
1992,5602,237845
1992,5603,136748
1992,5801,737956
1992,5802,106072
1992,5809,4570
1992,5906,25731
1992,5907,100023
1992,60,41175128
1993,5512,9931551
1993,5513,34733923
1993,5514,102855617
1993,5515,5602250
1993,5516,976059
1993,5602,64389
1993,5603,70528
1993,5801,1277007
1993,5802,44312
1993,5809,142263
1993,5906,45663
1993,5907,38858
1993,60,42502406
1995,5512,35254578
1995,5513,64181083
1995,5514,108456910
1995,5515,5343852
1995,5516,11063374
1995,5602,155600
1995,5603,163927
1995,5801,5984145
1995,5802,288526
1995,5809,531319
1995,5906,870722
1995,5907,115402
1995,60,89314523
1996,5512,41867331
1996,5513,55016747
1996,5514,73360176
1996,5515,6368088
1996,5516,9621960
1996,5602,408064
1996,5603,205575
1996,5801,8691866
1996,5802,346251
1996,5809,253020
1996,5906,1975917
1996,5907,93262
1996,60,118823307
1997,5512,16995013
1997,5513,14604101
1997,5514,3923415
1997,5515,5376871
1997,5516,3283707
1997,5602,382244
1997,5603,2578375
1997,5801,1333561
1997,5802,225751
1997,5809,166422
1997,5906,414878
1997,5907,17759
1997,60,33818551
1998,5512,63700965
1998,5513,73462143
1998,5514,86577308
1998,5515,11516062
1998,5516,9705443
1998,5602,11940
1998,5603,1261385
1998,5801,14321624
1998,5802,735251
1998,5809,9265
1998,5906,1471364
1998,5907,13851
1998,60,94234578
2000,5512,153364204
2000,5513,92457913
2000,5514,47847109
2000,5515,18879549
2000,5516,6216861
2000,5602,82881
2000,5603,1608293
2000,5801,9534586
2000,5802,167900
2000,5809,173794
2000,5906,1087424
2000,5907,1561123
2000,60,67037344
2001,5512,186935243
2001,5513,109888301
2001,5514,43642837
2001,5515,18229890
2001,5516,2531152
2001,5602,137702
2001,5603,1665347
2001,5801,8656610
2001,5802,258825
2001,5809,11304
2001,5906,465089
2001,5907,1521352
2001,60,78996326
