year,code,value
2001,5311,1316370
2001,5407,174054240
2001,5408,10219884
2012,5212,157917578
2013,5212,167036638
2015,5212,133638180
2012,5903,53898333
2013,5903,56738708
2015,5903,96965056
2008,5212,101635276
2009,5212,101589165
2010,5212,125482651
2011,5212,228712674
2008,5903,27872008
2009,5903,32575306
2010,5903,45232849
2011,5903,63451055
2002,5212,142641955
2003,5212,168743308
2004,5212,64600178
2005,5212,47576439
2006,5212,3192327
2007,5212,8870307
2002,5903,21369216
2003,5903,23558447
2004,5903,17802854
2005,5903,31913296
2006,5903,20386452
2007,5903,17971044
1989,5212,8568193
1990,5212,11981979
1991,5212,23728819
1992,5212,63990608
1993,5212,62529682
1995,5212,325552424
1996,5212,158949919
1997,5212,6780817
1998,5212,126927272
2000,5212,118593413
2001,5212,180233409
1989,5903,448714
1990,5903,575076
1991,5903,5636354
1992,5903,15671134
1993,5903,16951188
1995,5903,22115388
1996,5903,19830839
1997,5903,1582568
1998,5903,20293611
2000,5903,26431841
2001,5903,32610506
