"machine","capacity","bgmea_num","fac_type","upazila","date_est","exist91","exist00","upaz2011","parent","ipum2011"
57,NA,2757,1,"uttara, bimanbandar",1998,0,1,"302695","030026","030026095"
145,NA,2627,1,"tejgaon industrial area",1998,0,1,"302692","030026","030026092"
98,"18000",272,0,"motijheel",1986,1,1,"302654","030026","030026054"
279,"25000",550,1,"gulshan",1988,1,1,"302626","030026","030026026"
150,"48000",1917,0,"gulshan",1994,0,1,"302626","030026","030026026"
128,"275000",864,1,"narayanganj sadar",1989,1,1,"306758","030067","030067058"
183,"65000",201,0,"double mooring",1986,1,1,"201528","020015","020015028"
110,"50000",2589,0,"bangshal",1997,0,1,"302605","030026","030026005"
98,"48000",2600,0,"darus salam",1998,0,1,"302611","030026","030026011"
200,NA,2269,0,"double mooring",1996,0,1,"201528","020015","020015028"
NA,NA,1217,0.5,"mirpur",1991,1,1,"302648","030026","030026048"
150,"250000",929,1,"pallabi",1989,1,1,"302664","030026","030026064"
306,"130000",1522,0,"rampura",1992,0,1,"302667","030026","030026067"
NA,NA,1580,0.5,"mirpur",1993,0,1,"302648","030026","030026048"
105,"3380000",2216,1,"narayanganj sadar",1996,0,1,"306758","030067","030067058"
200,"50800",532,0.5,"mohammadpur",1987,1,1,"302650","030026","030026050"
55,"170000",2453,1,"narayanganj sadar",1997,0,1,"306758","030067","030067058"
235,"100000",648,0.5,"bayejid bostami",1988,1,1,"201506","020015","020015006"
NA,NA,2054,0.5,"double mooring",1995,0,1,"201528","020015","020015028"
62,"100000",2887,1,"gulshan",1999,0,1,"302626","030026","030026026"
NA,NA,2395,0.5,"pallabi",1997,0,1,"302664","030026","030026064"
189,"500000",1975,1,"narayanganj sadar",1994,0,1,"306758","030067","030067058"
135,"50000",1676,0,"mirpur",1993,0,1,"302648","030026","030026048"
70,"110000",1075,0.5,"kafrul",1990,1,1,"302630","030026","030026030"
NA,NA,1738,0.5,"narayanganj sadar",1993,0,1,"306758","030067","030067058"
90,"60000",729,1,"gulshan",1988,1,1,"302626","030026","030026026"
225,"400000",656,1,"gulshan",1988,1,1,"302626","030026","030026026"
98,"30000",1235,0.5,"shahbag",1991,1,1,"302675","030026","030026075"
52,"120000",492,0,"pallabi",1987,1,1,"302664","030026","030026064"
25,"6000",1704,0.5,"kafrul",1993,0,1,"302630","030026","030026030"
95,"60000",756,1,"mirpur",1989,1,1,"302648","030026","030026048"
41,NA,2823,1,"narayanganj sadar",1999,0,1,"306758","030067","030067058"
311,"120000",725,0.5,"kafrul",1988,1,1,"302630","030026","030026030"
83,"18000",131,0.5,"pallabi",1986,1,1,"302664","030026","030026064"
