"bgmea_num","capacity","machine","fac_type","upazila","date_est","exist05","upaz2011","parent"
2223,240000,240,1,"bhaluka",1996,1,306113,30061
1560,40000,154,0,"pallabi",1994,1,302664,30026
2475,78000,194,0,"dakshinkhan",1997,1,302610,30026
1122,120000,98,1,"mohammadpur",1992,1,302650,30026
2664,42000,85,0,"tejgaon industrial area",1998,1,302692,30026
2883,120000,150.5,0,"mirpur",1999,1,302648,30026
232,62500,211.5,0,"gazipur sadar",1984,1,303330,30033
1472,48000,78,0,"mirpur",1993,1,302648,30026
878,NA,224.4716134,0,"narayanganj sadar",1991,1,306758,30067
2802,280000,83,1,"narayanganj sadar",1998,1,306758,30067
462,1e+05,215,0,"gulshan",1985,1,302626,30026
843,48000,150,0.5,"gazipur sadar",1989,1,303330,30033
932,72000,130,0,"double mooring",1998,1,201528,20015
1426,101000,222.5,0,"tejgaon industrial area",1993,1,302692,30026
2266,240000,80,1,"pallabi",1995,1,302664,30026
1777,120000,69,1,"uttara, bimanbandar",1993,1,302695,30026
2647,20000,76,0,"motijheel",1998,1,302654,30026
1785,160000,85,1,"narayanganj sadar",1994,1,306758,30067
1452,12000,100,0,"turag",1993,1,302693,30026
2998,NA,33,0.5,"narayanganj sadar",1999,1,306758,30067
1742,1250000,1150,0,"savar",1994,1,302672,30026
614,84000,95,0.5,"motijheel",1988,1,302654,30026
573,24000,151,0,"sabujbagh",1985,1,302668,30026
2587,NA,95,1,"pallabi",1997,1,302664,30026
2334,1104500,100,1,"sutrapur",1996,1,302688,30026
625,10000,278,0,"savar",1986,1,302672,30026
3014,1500000,121,1,"pallabi",1999,1,302664,30026
3199,120000,327,0,"narayanganj sadar",2000,1,306758,30067
1049,120000,290,0,"savar",1992,1,302672,30026
2761,10000,153.6192883,1,"savar",1998,1,302672,30026
3028,NA,34,0,"kafrul",1999,1,302630,30026
2558,90000,293,0,"turag",1997,1,302693,30026
1135,90000,246.5,0,"mirpur",1992,1,302648,30026
150,1e+05,271,0,"mirpur",1984,1,302648,30026
1401,365000,105,1,"mirpur",1993,1,302648,30026
2457,50000,22,0,"gulshan",1997,1,302626,30026
1149,20000,140,0,"adabor",1992,1,302602,30026
111,35000,141,0,"mirpur",1985,1,302648,30026
490,50000,150,0,"khulna sadar",1985,1,404751,40047
1,25008,660,0,"chandgaon",1985,1,201519,20015
3145,20000,125,0,"singair",2000,1,305682,30056
1496,120000,177.5,0,"mohammadpur",1993,1,302650,30026
3108,1e+05,297.5,0,"tejgaon",2000,1,302690,30026
2590,3e+05,103.5,0.5,"savar",1998,1,302672,30026
2604,60000,186.5,0,"keraniganj",1998,1,302638,30026
1716,5000,215,1,"pallabi",1993,1,302664,30026
2775,2500,184.5,0,"savar",1998,1,302672,30026
2308,150000,157.5,0,"mirpur",1996,1,302648,30026
974,3e+05,90.5,0.5,"narayanganj sadar",1992,1,306758,30067
520,75000,155,1,"mirpur",1987,1,302648,30026
1334,182500,87,0,"narayanganj sadar",1992,1,306758,30067
2021,1e+06,170,0,"gulshan",1995,1,302626,30026
768,150000,150,1,"pallabi",1990,1,302664,30026
1670,75000,573,1,"savar",1993,1,302672,30026
2205,NA,224.4716134,0,"pallabi",1995,1,302664,30026
2257,105000,175,0,"pallabi",1995,1,302664,30026
895,60000,130,0,"kafrul",1991,1,302630,30026
2757,NA,57,1,"uttara, bimanbandar",1998,1,302695,30026
112,18000,173,0,"gulshan",1985,1,302626,30026
2984,24000,275,1,"mirpur",1999,1,302648,30026
