"bgmea_num","capacity","machine","fac_type","upazila","date_est","exist91","exist01","upaz2011","parent"
1252,"360000",500,0,"tejgaon industrial area",1992,0,1,302692,30026
3019,"x",70,0,"dakshinkhan",1999,0,1,302610,30026
3047,"x",70,0,"dakshinkhan",2000,0,1,302610,30026
1177,"70000",80,0,"rampura",1991,1,1,302667,30026
9,"90000",140,0,"gulshan",1985,1,1,302626,30026
3185,"60000",70,0.5,"pahartali",2000,0,1,201555,20015
1231,"300000",370,0.5,"kotwali",1992,0,1,201541,20015
359,"156000",260,0,"mirpur",1985,1,1,302648,30026
2763,"150000",200,1,"gazipur sadar",1998,0,1,303330,30033
3084,"260000",178,1,"savar",1996,0,1,302672,30026
2751,"300000",145,1,"narayanganj sadar",1998,0,1,306758,30067
412,"150000",198,0,"tejgaon industrial area",1985,1,1,302692,30026
2188,"62400",100,0.5,"uttar khan",1995,0,1,302696,30026
74,"31200",114,0,"ramna",1984,1,1,302666,30026
471,"x",185.2385766,0,"mirpur",1985,1,1,302648,30026
1784,"x",160,0,"pallabi",1994,0,1,302664,30026
1744,"90000",132,1,"narayanganj sadar",1994,0,1,306758,30067
487,"x",185.2385766,0,"savar",1985,1,1,302672,30026
1006,"60000",140,0,"sher-e-bangla nagar",1992,0,1,302680,30026
2333,"45000",120,0,"bakalia",1996,0,1,201510,20015
2141,"48000",100,0,"motijheel",1995,0,1,302654,30026
2009,"66667",27,1,"kaliakair",1995,0,1,303332,30033
3037,"152000",75,1,"dhanmondi",1999,0,1,302616,30026
549,"144000",292,0,"sher-e-bangla nagar",1984,1,1,302680,30026
634,"25000",250,0,"mohammadpur",1986,1,1,302650,30026
329,"70000",295,0,"chandgaon",1981,1,1,201519,20015
3104,"x",86,0,"mirpur",2000,0,1,302648,30026
2791,"30000",138,1,"double mooring",1999,0,1,201528,20015
214,"72000",130,0,"tejgaon industrial area",1985,1,1,302692,30026
2995,"30000",124,0,"pallabi",1999,0,1,302664,30026
1965,"100000",200,0,"pallabi",1995,0,1,302664,30026
1612,"93000",60,0,"mirpur",1993,0,1,302648,30026
280,"75000",175,0.5,"narayanganj sadar",1985,1,1,306758,30067
1995,"156000",150,0.5,"mirpur",1995,0,1,302648,30026
1533,"90000",56,0.5,"narayanganj sadar",1993,0,1,306758,30067
88,"120000",119,0,"mirpur",1985,1,1,302648,30026
2370,"175000",525,0,"mirpur",1996,0,1,302648,30026
596,"100000",300,0,"mirpur",1986,1,1,302648,30026
2595,"x",188,0,"mirpur",1998,0,1,302648,30026
5,"25000",85,0,"new market",1985,1,1,302663,30026
3136,"840000",52,0.5,"panchlaish",2000,0,1,201557,20015
2519,"45000",130,0,"kotwali",1997,0,1,201541,20015
1028,"50000",130,0,"gazipur sadar",1991,1,1,303330,30033
2666,"45000",112,0,"savar",1998,0,1,302672,30026
910,"80000",50,1,"narayanganj sadar",1991,1,1,306758,30067
2328,"35000",80,0,"pahartali",1996,0,1,201555,20015
1272,"48000",85,0,"kotwali",1992,0,1,201541,20015
336,"40000",120,0,"pahartali",1984,1,1,201555,20015
1992,"15000",55,1,"narayanganj sadar",1995,0,1,306758,30067
99,"90000",185,0,"pallabi",1985,1,1,302664,30026
1355,"50000",300,0,"savar",1993,0,1,302672,30026
2431,"78000",150,1,"savar",1997,0,1,302672,30026
1696,"2500000",723,0,"patenga",1992,0,1,201565,20015
855,"250000",200,1,"savar",1991,1,1,302672,30026
2731,"75000",84,0,"savar",1998,0,1,302672,30026
2828,"36000",162,1,"khilkhet",1998,0,1,302637,30026
1130,"70000",215,1,"pallabi",1992,0,1,302664,30026
2219,"18000",130,0,"mirpur",1995,0,1,302648,30026
2621,"432000",300,1,"chandgaon",1998,0,1,201519,20015
721,"170000",230,0,"uttara, bimanbandar",1989,1,1,302695,30026
2994,"120000",63,0,"kalabagan",1999,0,1,302633,30026
32,"40000",175,0,"kalabagan",1983,1,1,302633,30026
342,"84000",201,0,"kotwali",1984,1,1,201541,20015
940,"48000",131,0,"gulshan",1992,0,1,302626,30026
539,"25000",110,0,"gendaria",1985,1,1,302624,30026
3069,"45000",160,0,"kaliakair",2000,0,1,303332,30033
2687,"42000",100,0,"pahartali",1987,1,1,201555,20015
1491,"126000",250,0,"pahartali",1994,0,1,201555,20015
2393,"20000",250,0,"singair",1996,0,1,305682,30056
15,"50000",140,0,"badda",1985,1,1,302604,30026
1360,"72000",175,0,"dakshinkhan",1993,0,1,302610,30026
2232,"120000",250,0.5,"new market",1995,0,1,302663,30026
3188,"12000",84,1,"pallabi",2000,0,1,302664,30026
982,"60000",186,0,"gazipur sadar",1992,0,1,303330,30033
2410,"70000",115,0,"double mooring",1996,0,1,201528,20015
2829,"x",63,0.5,"badda",1998,0,1,302604,30026
1687,"36000",120,0,"dhanmondi",1993,0,1,302616,30026
2648,"x",185.2385766,1,"rupganj",1998,0,1,306768,30067
852,"84000",120,1,"sabujbagh",1991,1,1,302668,30026
1085,"30000",183,0,"tejgaon industrial area",1992,0,1,302692,30026
1351,"100000",300,0,"pallabi",1992,0,1,302664,30026
1172,"12000",185,0,"double mooring",1992,0,1,201528,20015
1876,"45000",350,1,"gazipur sadar",1994,0,1,303330,30033
105,"180000",624,0,"gazipur sadar",1984,1,1,303330,30033
2898,"556000",1729,0,"savar",1999,0,1,302672,30026
633,"75000",100,0,"new market",1986,1,1,302663,30026
2128,"48000",125,0,"badda",1995,0,1,302604,30026
2760,"204000",150,0,"badda",1998,0,1,302604,30026
1208,"48000",240,0,"gulshan",1991,1,1,302626,30026
497,"42000",112,0,"motijheel",1985,1,1,302654,30026
3179,"2000",281,1,"savar",2000,0,1,302672,30026
1193,"48000",139,0,"mirpur",1992,0,1,302648,30026
2163,"48000",160,0,"savar",1995,0,1,302672,30026
100,"54000",208,0,"mirpur",1985,1,1,302648,30026
2175,"150000",210,0.5,"gulshan",1995,0,1,302626,30026
757,"35000",95,0.5,"rampura",1991,1,1,302667,30026
1408,"210000",150,1,"mirpur",1993,0,1,302648,30026
2635,"x",95,1,"savar",1998,0,1,302672,30026
1221,"72000",500,0,"savar",1992,0,1,302672,30026
2915,"70000",106,0,"mirpur",1999,0,1,302648,30026
405,"360000",95,0,"gulshan",1985,1,1,302626,30026
308,"36000",99,0,"savar",1985,1,1,302672,30026
1157,"370000",84,1,"narayanganj sadar",1992,0,1,306758,30067
228,"18000",134,0,"ramna",1985,1,1,302666,30026
1463,"99000",218,0.5,"ramna",1993,0,1,302666,30026
3051,"x",51,0.5,"ramna",2000,0,1,302666,30026
1985,"435000",152,0.5,"rampura",1995,0,1,302667,30026
1380,"36000",140,0,"mirpur",1993,0,1,302648,30026
639,"250000",175,0.5,"mirpur",1986,1,1,302648,30026
3117,"5000",89,1,"panchlaish",2000,0,1,201557,20015
866,"60000",111,1,"tejgaon industrial area",1991,1,1,302692,30026
2610,"x",84,0,"mirpur",1998,0,1,302648,30026
1185,"168000",184,0,"khulshi",1992,0,1,201543,20015
594,"52000",126,0,"tejgaon",1986,1,1,302690,30026
37,"78000",248,0,"tejgaon",1981,1,1,302690,30026
1679,"150000",56,1,"gazipur sadar",1993,0,1,303330,30033
738,"52000",203,0,"savar",1990,1,1,302672,30026
305,"60000",104,0,"double mooring",1985,1,1,201528,20015
735,"20000",250,1,"double mooring",1989,1,1,201528,20015
225,"120000",250,0,"new market",1985,1,1,302663,30026
2673,"40000",163,0.5,"panchlaish",1998,0,1,201557,20015
1373,"150000",200,0.5,"kotwali",1993,0,1,201541,20015
2096,"432000",135,1,"pallabi",1994,0,1,302664,30026
399,"70000",125,0.5,"double mooring",1985,1,1,201528,20015
821,"120000",66,1,"sutrapur",1991,1,1,302688,30026
2058,"48000",125,0,"bayejid bostami",1995,0,1,201506,20015
477,"90250",63,0,"tejgaon",1985,1,1,302690,30026
1497,"25000",110,0,"rampura",1993,0,1,302667,30026
1197,"250000",50,0.5,"shahbag",1992,0,1,302675,30026
2206,"86000",114,0.5,"gazipur sadar",1995,0,1,303330,30033
1318,"80000",104,0.5,"gazipur sadar",1992,0,1,303330,30033
299,"60000",400,0,"savar",1985,1,1,302672,30026
2784,"65000",120,0.5,"gazipur sadar",1998,0,1,303330,30033
2496,"60000",100,1,"pallabi",1997,0,1,302664,30026
3056,"0",90,0,"gazipur sadar",2000,0,1,303330,30033
1067,"55000",131,0,"tejgaon",1992,0,1,302690,30026
2736,"116000",115,0,"gazipur sadar",1998,0,1,303330,30033
3066,"12000",63,0,"kalabagan",2000,0,1,302633,30026
2142,"75000",400,1,"chauddagram",1995,0,1,201931,20019
16,"3500",57,0,"rampura",1985,1,1,302667,30026
561,"132000",220,0,"narayanganj sadar",1984,1,1,306758,30067
1453,"220000",80,0.5,"narayanganj sadar",1994,0,1,306758,30067
1874,"50000",350,1,"mirpur",1994,0,1,302648,30026
1739,"35000",120,0,"dakshinkhan",1994,0,1,302610,30026
1256,"35000",120,0,"dakshinkhan",1992,0,1,302610,30026
681,"0",185.2385766,0,"narayanganj sadar",1987,1,1,306758,30067
1381,"150000",174,0,"dhanmondi",1993,0,1,302616,30026
3091,"36000",112,0,"kafrul",1991,1,1,302630,30026
3159,"35000",72,1,"lohagara",2000,0,1,201547,20015
3215,"x",185.2385766,0,"kafrul",2000,0,1,302630,30026
528,"180000",150,0,"mohammadpur",1985,1,1,302650,30026
1044,"60000",105,0,"kafrul",1992,0,1,302630,30026
1273,"75000",85,1,"narayanganj sadar",1991,1,1,306758,30067
3177,"x",44,0.5,"kotwali",2000,0,1,201541,20015
2445,"40000",120,0.5,"panchlaish",1997,0,1,201557,20015
918,"60000",100,0,"patenga",1992,0,1,201565,20015
2243,"55000",100,0,"patenga",1995,0,1,201565,20015
2272,"104166",1687,1,"patenga",1996,0,1,201565,20015
628,"36000",160,0,"chandgaon",1986,1,1,201519,20015
3053,"x",57,1,"mirpur",2000,0,1,302648,30026
230,"33000",118,0,"kafrul",1985,1,1,302630,30026
1195,"600000",200,1,"khulshi",1992,0,1,201543,20015
3042,"150000",200,1,"khulshi",2000,0,1,201543,20015
2743,"x",185.2385766,1,"gazipur sadar",1998,0,1,303330,30033
2976,"x",43,1,"gazipur sadar",1999,0,1,303330,30033
2843,"150000",300,0.5,"pahartali",1998,0,1,201555,20015
2435,"109500",25,1,"badda",1997,0,1,302604,30026
3035,"60000",300,1,"chandgaon",1999,0,1,201519,20015
1097,"80000",210,0,"cantonment",1992,0,1,302608,30026
1255,"600000",200,1,"kotwali",1992,0,1,201541,20015
1365,"150000",167,0,"pallabi",1993,0,1,302664,30026
998,"50000",205,0,"pallabi",1991,1,1,302664,30026
